video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"gYUTSGyWEGI","POPÓ MASSACRA JR DUBLÊ E NOCAUTEIA RIVAL NO FMS 3 | MELHORES MOMENTOS | Combate.globo","2023-08-27T13:00:26Z","UCaZY_c71TTugtIMKGlPtsmg","Combate","17","23.28.08","UFC|ufc ao vivo|luta ufc|luta|ufc ontem|lutas ufc|combate ao vivo|ufc combate ao vivo|combate|ufc ao vivo agora|ufc ao vivo hoje|luta ao vivo|luta de ufc|luta do ufc|melhores lutas ufc|melhores momentos ufc|ufc combate|PFL|Professional Fighters League|Bellator|One FC|One Fight Championship|Glory|kickboxing|muay thai|bjj|brazilian jiu-jitsu|One|MMA|nocaute|nocautes|judô|Glory kikcboxing|One MMA|Mundo da Luta|melhores lutas","290037","0","0","1357","https://i.ytimg.com/vi/gYUTSGyWEGI/default.jpg","False","True","A terceira edição do FMS  teve mais um show de Acelino Popó. O brasileiro não tomou conhecimento de Jr Dublê e o nocauteou logo no primeiro round. O show foi repleto de grande atuações, com destaque para a vitória de MC Livinho! Confira os melhores momentos.#fms #combate #popó Já se inscreve no canal e ativa o sininho para não perder nada!! 🔔INSCREVA-SE: https://bit.ly/3bXr6DzMelhores Momentoshttps://tinyurl.com/mrypcsytListas e TOPhttps://tinyurl.com/ypv63mzxPerfil Combatehttps://tinyurl.com/24mc4exdLiveshttps://tinyurl.com/394c4e8sNo canal do Combate você encontra os melhores conteúdos sobre o MUNDO DA LUTA! Muita notícia, informação, entrevistas, palpites e descontração, sempre prontos para a luta!"
"KdeI59yoHgw","AO VIVO | FIGHT MUSIC SHOW 3: POPÓ X JR. DUBLÊ | DUAS PRIMEIRAS LUTAS | combate.globo","2023-08-27T00:04:45Z","UCaZY_c71TTugtIMKGlPtsmg","Combate","17","23.28.08","UFC|ufc ao vivo|luta ufc|luta|ufc ontem|lutas ufc|combate ao vivo|ufc combate ao vivo|combate|ufc ao vivo agora|ufc ao vivo hoje|luta ao vivo|luta de ufc|luta do ufc|melhores lutas ufc|melhores momentos ufc|ufc combate|PFL|Professional Fighters League|Bellator|One FC|One Fight Championship|Glory|kickboxing|muay thai|bjj|brazilian jiu-jitsu|One|MMA|nocaute|nocautes|judô|Glory kikcboxing|One MMA|Mundo da Luta|melhores lutas","1447880","0","0","1089","https://i.ytimg.com/vi/KdeI59yoHgw/default.jpg","False","True","O bicho vai PEGAR em mais uma edição do Fight Music Show! O tetracampeão mundial Acelino Popó Freitas vai pra cima do corajoso Jr. Dublê em um duelo para lá de inusitado nos ringues! Será que o Vin Diesel “genérico” vai surpreender?Realizado em São Paulo, o evento trará lutas de boxe e MMA no card, e reune nomes como Dynho Alves, MC Livinho, Felipe brTT, Nog Caio e outras grandes feras. O FMS 3 promete fortes emoções!FIGHT MUSIC SHOW 3 - CARD COMPLETOBOXEPopó Freitas x Junior DublêDynho Alves x MC LivinhoRafael Rey Physique x Renato Pobre LocoFelipe Gonçalves BrTT x Caio NogRodrigo Ruiz x Eduardo MunraMMANicolle Caliari x Carolina JiménezMarcel Adur x João Lucas MarretaJohnatha Guido x Hilário SilvaRafael Miniman x Diogo Silva PinkGuilherme Pat x Leandro MoreiraAproveite nosso plano anual e assine para ter a experiência completa do Combate! http://bit.ly/CombateAssineJá se inscreve no canal e ativa o sininho para não perder nada!! 🔔INSCREVA-SE: https://bit.ly/3bXr6DzMelhores Momentoshttps://tinyurl.com/mrypcsytListas e TOPhttps://tinyurl.com/ypv63mzxPerfil Combatehttps://tinyurl.com/24mc4exdLiveshttps://tinyurl.com/394c4e8sNo canal do Combate você encontra os melhores conteúdos sobre o MUNDO DA LUTA! Muita notícia, informação, entrevistas, palpites e descontração, sempre prontos para a luta!"
"NN9aqmCprSo","Ariana Grande - Baby I (Live from London)","2023-08-27T16:00:24Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","23.28.08","ariana grande performance video|ariana grande honeymoon avenue performance video|ariana grande yours truly|yours truly ariana grande|ariana grande|yours truly album ariana grande|ariana|yours truly|ariana yours truly|yours truly ariana|ariana grand|ariana grande album|yours truly album|grande yours truly|new ariana grande|yours truly 10 year anniversary|10 year anniversary yours truly|yours truly london performances|baby","743220","0","0","7079","https://i.ytimg.com/vi/NN9aqmCprSo/default.jpg","False","True","The official performance of “Baby I” Live from London by Ariana Grande. Listen to & download the Yours Truly: Tenth Anniversary album here: https://arianagrande.lnk.to/yourtruly10yr►Shop Merch: https://arianagrande.lnk.to/shop►Follow Ariana Grande:www.arianagrande.comhttps://instagram.com/arianagrandehttps://tiktok.com/@arianagrande https://facebook.com/arianagrande►Subscribe to Ariana Grande: https://arianagrande.lnk.to/subscribe►Video Credits:Creative Director: Ariana Grande @arianagrandeDirector: Katia Temkin @katiatemkinProducer (US): Morgan Russell @mgrussellLive Camera Director / EP: Raja Virdi @rajavirdiProducer (UK): Joseph J. Goldman @thewarthogProduction Company (UK): PHASE @phasefilmsProduction Manager: Tara Sadeghi @tarasadeghiProduction Coordinator: Zoe Gunn @zoe.gunnProduction Coordinator: Abbey Valentina @abbey_valentina1st Assistant Director: James Dyer @jamesdyer1stadAD Runner: Melanie Barbieri @melanie.barbieriDirector of Photography: Pablo Lopez @saintpablo___Steadicam Op: Beau Pritchard James @beauxpjCamera Op: Dax Debice @daxdebice1st AC: Becky Lee @bbleeac1st AC: Andreea Gruioniu @andreeagruioniu2nd AC: Sandra Pennington @sandra_felicitas2nd AC: Aaron Champion @ac.the.acCamera Trainee / Driver: Josh Hong @josh.hongKey Grip: Phill Heale @phillhealeGrip Trainee: Felix Gibbons @gibbogripsBTS Photographer: Shannon Beveridge @nowthisislivingGaffer: Ryan Monteith @montycb6Desk Op: Hudson Daly @hudson_dalySpark: Kevin Mcfadden Spark: James Leech @jameswlyttonSpark: Ana Krkljus @kirklejuiceSpark Trainee: Sanaa Byfield @sparkienegroniRigger: David Harnett Rigger: Paul Howes Rigger: Robbie Chance (Tyler)Projection Tech: Vlad Kadinsky @duntoncineprojectionVideo Playback: Alex Bates @alexb66DIT: Robert Macfarlane @robertmacfarlanedirectorProduction Designer: Sarah Asmail @sarah.asmailArt Department Assistant: Lucia Barsegian @luciabarsegianArt Department Assistant: Jade O’Connor @jade_atworkSFX Tech: Neil Gawthrop @machineshopsfx Hair: Gabor Kerekes @gabork_muaMakeup: Nuria Mbomio Styling: Mimi Cutrell @mimicuttrellStylist Assistant: Madison CalvoWardrobe Tailor: Claire O’ConnorRunner: Bertie Newman @bertie.newmanRunner: Lara Drew @lara.drew.bRunner: Jack Bergman @jackbergman3Medic: Anthony Hatton @eandtmedicalCamera Hire: Take Two @procamtake2Lighting Hire: SHL @shl.londonRigging Hire: Traditional Film RiggingProduction Supplies: Get Set Hire @getsethireA big thank you to Soho House @sohohouse for hosting us.Editor: Katia Temkin @katiatemkin Editor: Shannon Beveridge @nowthisislivingPost Production Producer: Morgan Russell @mgrussellColor: Keyhan Bayegan @kbaycolor @legionpost.tvVFX: Jakob Thorhallsson @jakobthorhallssonAudio: Johnny Najera @_natural__Digital Consultant: Grace Segundo @gracesegundoBandMusical Director: Johnny Najera @_natural__Drums: Aaron Spears @aspearsKeys: Nelson Jackson @nelsonjacksoniiiBass: Tarron Crayton @tarroncraytonString Arranger: Steve Sidwell @steve.sidwellmusicViolin 1 Leader: Stephanie Benedetti @stephaniebenedettiViolin 1 & Viola: Chris Mcclain Violin 1: Kotono Sato Violin 2: Dan Oates Violin 2 & Viola: Kirsty Mangan @krustyroobagViolin 2: Sarah Daramy-Williams @sarahdaramywilliamsCello: Katherine Jenkinson Cello: Desmond Neysmith @neysmithdesmond#ArianaGrande #BabyIMusic video by Ariana Grande, Taro Hakase performing Baby I (live from london / 2023). © 2023 Universal Republic Records, a division of UMG Recordings, Inc.http://vevo.ly/8nzxtu"
"rPm_tsU7sdo","UM DIA INTEIRO COPIANDO MINHA MÃE !!!","2023-08-27T15:00:12Z","UC--FL6OwLFWGIZfLfazY4yA","Lorrayne Oliveira","24","23.28.08","[none]","297717","0","0","5758","https://i.ytimg.com/vi/rPm_tsU7sdo/default.jpg","False","True","UM DIA INTEIRO COPIANDO MINHA MÃE !!!"
"Q268EY1gVzw","🔴 DYNHO ALVES x MC LIVINHO + POPÓ  x DUBLÊ DO VIN DIESEL  | FMS 3 AO VIVO","2023-08-27T04:33:00Z","UCUiB_sEkt-KY9RoL3M182uQ","SUPER LUTAS","17","23.28.08","ufc|ufc hoje|ufc agora|ufc onde assistir|ufc combate|ufc react|ufc sabado|hora ufc|resultados ufc|Assistir UFC|UFC|UFC online|UFC ao vivo|UFC ao vivo online|UFC 2023|Assistir UFC hoje|UFC ONLINE ASSISTIR|Charles do Bronx|UFC AO VIVO ONLINE|Combate UFC|Boxe AO VIVO|combate ao vivo|whindersson luta|popo luta|popo|whindersson|dynho|alves|mc livinho|livinho|luta de celebridades|luta|influenciadores|boxe|boxe influenciadores|fms|fight|music|show","1266492","0","0","36","https://i.ytimg.com/vi/Q268EY1gVzw/default.jpg","False","True","Assista o #FMS3 AO VIVO com a segunda tela SUPER LUTAS, que realiza a narração em tempo real, e vídeo de todos os nocautes e finalizações do evento, além da tradicional resenha no chat! Participe de nossa transmissão interativa!Em destaque, Dynho Alves enfrenta MC Livinho pelo cinturão de influenciadores. Na luta principal do evento, Popó Freitas enfrenta Junior Dublê do Vin Diesel.#ufcaovivo  #amandalemos  CARD COMPLETO Boxe 5:31:00 Popó Freitas x Junior Dublê4:55:16 Dynho Alves x MC Livinho – Luta pelo cinturão de influenciadores4:19:21 Felipe Gonçalves “BrTT” x Caio “Nog”4:05:53 Rodrigo Ruiz x Eduardo Munra3:49:55 Rafael “Rey Physique” x Renato “Pobre Loco”MMA2:39:12 Nicolle Caliari x Carolina Jiménez2:21:19 Marcel Adur x João Lucas “Marreta”1:49:51 Johnatha Guido x Hilário Silva1:17:31 Rafael “Miniman” x Diogo Silva “Pink”41:08 Guilherme Pat x Leandro MoreiraSeja membro deste canal e ganhe benefícios:https://bit.ly/31M2Na1Participe conosco no chat e tenha voz no debate!Inscreva-se no canal, deixe o like e ative o sino para receber os próximos vídeos e deixe sua opinião e sugestão nos comentários!IMPORTANTE: Por questões de direitos autorais, não podemos transmitir o evento aqui no canal. Exibimos apenas alguns prints para ilustração. A ideia da nossa live é ser uma experiência de “segunda tela” com os comentários ao vivo.IMPORTANT: For copyright reasons, we cannot broadcast the event here on the channel. We show only a few prints for illustration. The idea of our live is to be a “second screen” experience with live comments. 00:00 Abertura 01:58 Aquecimento e comentários pré-lutas41:08 Guilherme Pat x Leandro Moreira1:17:31 Rafael “Miniman” x Diogo Silva “Pink”1:49:51 Johnatha Guido x Hilário Silva2:21:19 Marcel Adur x João Lucas “Marreta”2:39:12 Nicolle Caliari x Carolina Jiménez3:49:55 Rafael “Rey Physique” x Renato “Pobre Loco”4:05:53 Rodrigo Ruiz x Eduardo Munra4:19:21 Felipe Gonçalves “BrTT” x Caio “Nog”4:55:16 Dynho Alves x MC Livinho – Luta pelo cinturão de influenciadores5:31:00 Popó Freitas x Junior Dublê5:50:18 Interação com o chat e comentários finais"
"JSI9RmuRjt4","Corinthians x Goiás | AO VIVO | Campeonato Brasileiro 2023 | Rádio Craque Neto","2023-08-27T03:01:03Z","UCZShhGzxHVd1xgiBhDDpYYA","Rádio Craque Neto","17","23.28.08","radio|craque|neto|sidnei|fraioli|josé|ferreira|corinthians|são paulo|palmeiras|santos|ao vivo|web|online|campeonato|copa|brasileiro|libertadores|imagem|futebol|transmissao|jogo|craque neto|com imagem|narração|gols|gratis|hd|vs|assistir|video|noticias|pos|pre|fm|tv|ppv|hoje|agora|live|imagens|donos da bola|transmissao imagem|melhores|placar|jp|globo|brasileirao|futemax|news|pan|band|ulisses|GLOBO|premiere|novo|play|sccp|br|timao|2023|quimica|star|plus|star+|liberta|del valle|vale","542058","0","0","8","https://i.ytimg.com/vi/JSI9RmuRjt4/default.jpg","False","True","🔴 BOMBRIL, 1001 utilidades: https://www.bombril.com.br/👷‍♂️ CIA Ibérica: https://www.ciaiberica.com.br/💸 EURO17 - CRÉDITO: https://euro17.com.br/🎮 Brasil Game Show 2023: https://bit.ly/radiocraquenetoBGS23💳 IPVA e multas em 12x é com botpag: https://parcelatudo.botpag.com.br/craqueneto💰 CONTAS A RECEBER - LITÍGIO B2B: https://www.instagram.com/litigiob2b/🎮💻 4GAMERS - Seu PC Gamer é aqui! http://4gamers.com.br/🍹 V!BE ENERGY DRINK: Se joga nessa mistura! Só vai. https://www.instagram.com/vibeenergydrink/🛞 PNEUSTORE - seu guia em direção ao pneu certo: https://www.pneustore.com.br/  Cupom: 'NETO'🛍️ LOLJA x Rádio Craque Neto - Agora você pode adquirir produtos oficiais da Rádio Craque Neto: https://www.lolja.com.br/radiocraqueneto/🐶 MAGNUS - Alimentos para cães e gatos: https://adimax.com.br/magnus/💡 THE LIGHT, O SHOPPING DA ILUMINAÇÃO: https://www.thelight.com.br/✉️ Entre em nosso Canal do Telegram - Informações, notícias, discussões e muito mais: https://t.me/radiocraquenetoDeixe seu like! Mande sua mensagem!Inscreva-se: https://www.youtube.com/user/radiocraqueneto?sub_confirmation=1Doe/Ajude o canal: https://streamlabs.com/radiocraqueneto/tipSeja membro deste canal e ganhe benefícios:https://www.youtube.com/channel/UCZShhGzxHVd1xgiBhDDpYYA/join🟣 Twitch: https://www.twitch.tv/radiocraqueneto🌐 Twitter: http://www.twitter.com/radiocraqueneto🟠 Instagram: http://www.instagram.com/radiocraqueneto🔵 Facebook: http://www.facebook.com/radiocraqueneto💬 Telegram: https://t.me/radiocraquenetoContato: radiocraqueneto@gmail.com_____________________________________________🚙 AUTO SHOPPING GLOBAL - Um mundo de veículos para você: https://autoshoppingglobal.com.br/🔌 Elétrica MAV - Fios e Cabos : https://eletricamav.com.br/🛠 Perfil Líder : https://www.perfillider.com.br/⚽ Uhlsport - Artigos Esportivos: https://www.lojauhlsport.com.br/👮‍♂️ Grupo Souza Lima - Segurança Patrimonial, Serviços de Portaria e Limpeza: https://gruposouzalima.com/🍅 Conservas FORNELLO: www.fornello.com.br.🔋 PowerNet UPS: https://www.powernetups.com.br/🍕 Super Pizza Pan: https://superpizzapan.com.br/💐 Elite Flores: http://instagram.com/eliteflores🥐 Portal do Padeiro: https://portaldopadeiro.com/🦷 Consultório Barrelo - Odonto e Estética: https://www.instagram.com/drakarinabarrelo/ | https://linktr.ee/barrelo.odontoeesteticaFUTCAMP: https://lp.the360.com.br/#corinthians #goias #brasileirao"
"30sK1aGGdLw","SONHO REALIZADO 🙏🏻🙏🏻 COMPRAMOS UM SÍTIO !","2023-08-27T14:00:05Z","UCSRTm9mquADWTiCFIqpyLqA","Dia a Dia na roça","22","23.28.08","[none]","114816","0","0","4931","https://i.ytimg.com/vi/30sK1aGGdLw/default.jpg","False","True",""
"jEKrtiLw4as","QUEM FIZER O MELHOR CARRINHO DE CONTROLE REMOTO DA SUA COR, VENCE! - Desafio","2023-08-27T15:00:09Z","UC2bYhAHyaqfWlPXWBVk4BcA","Enaldinho","24","23.28.08","Enaldinho|Enaldo Lopes|Desafio|elo team","1000981","0","0","859","https://i.ytimg.com/vi/jEKrtiLw4as/default.jpg","False","True","Meu espetáculo: https://www.enaldinho.com.brO conteúdo deste e de todos os vídeos do canal tem como principal intuito o entretenimento. Não repita ou reproduza este conteúdo, seja em ambientes públicos ou privados. O conteúdo visa exclusivamente gerar entretenimento.CANAL DA ELO TEAM: https://www.youtube.com/results?search_query=elo+teamSeja membro deste canal e ganhe benefícios:https://www.youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA/joinCOMPRE SEU LIVRÃO DO ZAP: http://bit.ly/livrosdoenaldinhoMINHA LOJA:  http://lolja.com.br/enaldinhoINSTA: @Enaldinho ou www.instagram.com/enaldinho/★ Siga nas redes sociais:Twitter: https://twitter.com/Enaldinho1Face: https://www.facebook.com/enaldo.lopes.1Segundo canal: https://goo.gl/oA3ErZ  ★ REDES SOCIAIS INTEGRANTES ELO:LUÍS: https://www.youtube.com/channel/UCLDyrS9G_SPjSUU3BIAsS2gTIAGO:Youtube: https://www.youtube.com/channel/UC7R498nEgxhervYSG8iRDbAGUILHERMEYoutube: https://www.youtube.com/channel/UCUIXGDcq5BMwTGdavU0V8-gBIELYoutube: https://www.youtube.com/user/zvisiongamerBRENNERYoutube: https://www.youtube.com/channel/UC7dN8lVhi2FPM9eZbMDrepwLUIZAYoutube:https://www.youtube.com/channel/UCSvi-LS8fTig35aDgYB8TcQ NICOLASYoutube:https://www.youtube.com/channel/UCW6_V5qKt6XYv-lST3xZ0nQEDIÇÃO, REVISÃO E POSTAGEM: Marcelinho Fernandes- Instagram: @Marcelinho_fe"
"9P_1yLTq4eU","LIVERPOOL SUPERA EXPULSÃO POLÊMICA DE VAN DIJK E VIRA CONTRA O NEWCASTLE COM 2 GOLS DE DARWIN NÚÑEZ","2023-08-27T17:47:44Z","UCw5-xj3AKqEizC7MvHaIPqA","ESPN Brasil","17","23.28.08","ESPN|ESPN Brasil|Premier League|Inglês|lances|tempo real|melhores momentos|gols|#PremierLeagueNaESPN|Newcastle|Liverpool|Bruno Guimarães|Salah|Joelinton|Darwin Núñez|Anthony Gordon|Futebol","540236","0","0","1527","https://i.ytimg.com/vi/9P_1yLTq4eU/default.jpg","False","True","Em um verdadeiro JOGAÇO pela 3ª rodada da Premier League, o Liverpool venceu o Newcastle por 2 a 1, em uma virada épica e histórica, neste domingo (27), em St. James Park.O resultado foi tão inacreditável porque os Reds disputaram quase todo o confronto com um atleta a menos, devido è expulsão do zagueiro Van Dijk ainda no 1º tempo.No entanto, a equipe comandada por Jürgen Klopp mostrou incrível espírito de luta e arrancou o triunfo na casa do rival, em duelo recheado de emoções.Todo o esporte AO VIVO da ESPN disponível também no Star+! Assine já!http://dis.la/StarPlus_YT_BRE o melhor do jornalismo esportivo, com vídeos e notícias exclusivas, você acompanha no https://www.espn.com.br/#MelhoresMomentos #Liverpool #Newcastle #PremierLeagueNaESPN #PremierLeague #Futebol"
"ifZB_SKeUiA","Joia de 16 anos brilha, Lewandowski decide, e Barcelona vira jogo insano contra o Villarreal","2023-08-27T17:51:31Z","UCw5-xj3AKqEizC7MvHaIPqA","ESPN Brasil","17","23.28.08","ESPN|ESPN Brasil|Star+|Star Plus|assistir|agora|ao vivo|com imagens|pirata|futemax|futebol play hd|tela torta|pix|narrado|narração|rádio|gols|melhores momentos|welcome|hd|4k|8k|1080p|2023|atualizado|barcelona|villarreal|virada|golaços|lewandowski|lamine yamal|joia|16 anos|ferran torres|gavi|de jong|laliga","559619","0","0","951","https://i.ytimg.com/vi/ifZB_SKeUiA/default.jpg","False","True","Todo o esporte AO VIVO da ESPN disponível também no Star+! Assine já!http://dis.la/StarPlus_YT_BRE o melhor do jornalismo esportivo, com vídeos e notícias exclusivas, você acompanha no https://www.espn.com.br/#Barcelona #Lewandowski #LamineYamal"
