video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bx23n7u_-2Y","[EN] 달달함 한도초과😘 알바생이 파헤치는 탕후루의 비밀 | 탕후루 가게 | 워크맨2","2023-08-25T09:00:33Z","UCwx6n_4OcLgzAGdty0RWCoA","워크맨-Workman","24","23.28.08","워크맨|워크맨2|스튜디오룰루랄라|카페알바|장성규|후기|wassupman|직업리뷰|아르바이트|알바|알바 브이로그|워크맨 드립|워크맨 장성규|알바 면접|장성규 알바|job|알바 꿀팁|알바생|알바브이로그|리뷰|카페 알바|탕후루카페|탕후루 카페|탕후루 셑|탕후루 세트|탕후루카세|탕후루 오마카세|오이 탕후루|딸기 탕후루|탕후루 만드는 법|탕후루 알바|탕후루 가게 알바|왕가탕후루|왕후탕후루|황후탕후루|판다탕후루|대단한탕후루|황제탕후루","2026820","0","0","875","https://i.ytimg.com/vi/bx23n7u_-2Y/default.jpg","False","True","JOB것덜~~~♥ 인력소장이다,,~~많이 기다렸지,,??오늘은,, 성규가,,,요즘 대세,, 탕후루 가게를 댕겨왔다,,,~요즘 20대들이 환장하는 거,,3위,, 탕후루,,,2위,, 마라탕,,,1위,, 워크맨,,,^^잡것덜,, 오늘 하루도 워크맨과,,달달하게 마무리하고,,,항상 행복해야혀~~,,,♥세상의 모든 job것들을 리뷰한다 [워크맨]▶ 매주 금 오후 6시 공개▶ 일거리 제보: workman2you@gmail.com▶ 비즈니스 문의: lululala.ad@sll.co.kr*일반인 출연자에 대한 지나친 비방 및 인신공격성 댓글은 관리자에 의해 삭제될 수 있습니다.#탕후루 #탕후루알바#워크맨2 #장성규 #workman#알바 #아르바이트 #알바리뷰#극한직업 #직업체험 #극한알바"
"gxaf9zn4Ld4","[VLOG] 5개월 아기 첫 뒤집기 성공‼️ 이모 삼촌들과 부산 일상 (초귀욤 개인기, 새 침대)","2023-08-27T12:00:35Z","UCYDyvqaGX6WxH77N04sj6mg","리쥬라이크 LIJULIKE","22","23.28.08","브이로그|커플vlog|부부|유혜주","422674","0","0","371","https://i.ytimg.com/vi/gxaf9zn4Ld4/default.jpg","False","True","❤️8/31~9/6까지 올영세일에서 더마토리 NEW 레티날 패드&아이패치 초특가 할인❤️탄력고민에 쫀쫀착붙 #탱탱결패드 #세로모공패드 ✅더마토리 레티날 탄력 앰플 패드 (80매)https://url.kr/xfwqun (37% 할인 26.000원→ 16,300원)✅더마토리 프로 비타 A 레티날 아이패치 (60매)https://url.kr/c6e5wg (36% 할인 22.000원→ 13,970원)instagram : @r_yuhyejuYouTube & Instagram 문의lijulike@crbhoney.kr"
"i0Yzt4H14fs","'프리롤' 손흥민을 완벽하게 살려쓰는 포스테코글루!! 2연승, 완벽하게 달라진 토트넘 (토트넘 vs 본머스)","2023-08-26T16:00:36Z","UCdh5nloZ9eo5YpZ2DRWwIew","새벽의 축구 전문가","17","23.28.08","손흥민|프리미어리그|챔피언스리그|토트넘|케인|포스테코글루|래시포드|매디슨|쿨루셉스키|히샬리송|페리시치|축구|본머스","280410","0","0","751","https://i.ytimg.com/vi/i0Yzt4H14fs/default.jpg","False","True","완벽하게 달라진 토트넘!비즈니스 & 기타 문의 :fenomino92@gmail.cominstagram.com/fenomino_92/#손흥민 #매디슨 #토트넘 #포스테코글루 #프리미어리그 #본머스"
"M3NMp6LDIdo","연애 기싸움 (SUB)","2023-08-26T09:00:33Z","UChgOgRNxrtCcVARDQT_c-Zg","짧은대본 ShortPaper","24","23.28.08","드라마|web drama|남사친|여사친|로멘스|연애|사랑|love|맥주|클라우드|클라우드생드래프트|영원커플|기싸움|대학연애|대학로맨스|로맨스|현실연애|안싸우는커플","545885","0","0","740","https://i.ytimg.com/vi/M3NMp6LDIdo/default.jpg","False","True","#맥주투명페트 #클라우드생드래프트 #투명페트이 영상은 클라우드 생 드래프트로부터 제작비를 지원받아 제작되었습니다.클라우드 생 드래프트 페트가 투명페트로 리뉴얼되었습니다.😍420ml 페트는 현재 전국 대형마트, 편의점에서 만날 수 있으며, 리뉴얼된 1.6L 투명페트는 8월 말부터 만나보실 수 있습니다!경고: 지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다.음원정보Choi Yu Ree(최유리) - 잘 지내자, 우리https://music.bugs.co.kr/album/4055940장소제공이태리회관 고양시 일산동구 경의로 25-53 204동 102호탐라돗고양시 일산동구 호수로 358-26 203동 113,114호문의메일 - short_paper@naver.com배우지원 - short_audi@naver.com"
"kly-TlhJAHI","미국 시골마을에도 한국식당이 있습니다 (이민온지 40년된 한국인) | There's a Korean Restaurant in this Small Town?! | 국제커플 🇰🇷🇺🇸","2023-08-27T08:54:15Z","UCR1ZCKviygL2NQ8m0T4hBWA","KOMERICAN","22","23.28.08","internationalcouple|marriedcouple|marriedkorea|korea|seoul|amwf|koreanhusband|americanwife|explorekorea|koreatrip|travelkorea|미국인|아내|미국인 아내|코메리칸|komerican|외국인|외국인아내|외국아내|미국인아내|미국사람|미국여자|한국|한국방문|공항|외국인반응|한방삼계탕|먹방|MUKBANG|reaction|koreanfood|미국인반응|외국인입맛|한국인|asian|korean|가정집|구독자|반응|국뽕|산골마을|미국어린이|국밥|영국아내|장인어른|장모님|한국프로야구|프로야구|야구|메이저리그|MLB|롯데|롯데자이언츠|로드킬|미국할머니|미국마트물가|미국물가|북한|북한사람|멕시코|팁문화|미국팁","154688","0","0","484","https://i.ytimg.com/vi/kly-TlhJAHI/default.jpg","False","True","미국에 이민 오신지 30-40년 되는 한인분들이미국 시골마을에서 묵묵히 한국음식을 알리고 계셨습니다 We're in Kansas, but MJ is missing Korean food from his home already, let's stop by the local Korean restaurant for lunch!#국제커플 #국제부부 _________________________________________■ 📸 OUR INSTAGRAM: https://www.instagram.com/komerican_couple/■ ✉️ EMAIL: Komerican.business@gmail.com■ 📝 OUR BLOG: https://blog.naver.com/komericancouple■ 🎵MUSIC by Epidemic Sound - Use Our Affiliate Link for a free 30-day trial:https://www.epidemicsound.com/referral/ziq3hz/"
"zrOpl-jzrJw","선불시간 5분 남았습니다","2023-08-25T09:00:44Z","UC1B6SalAoiJD7eHfMUA9QrA","숏박스","23","23.28.08","숏박스|스케치코미디|개그","2800711","0","0","5824","https://i.ytimg.com/vi/zrOpl-jzrJw/default.jpg","False","True","#스케치코미디 #숏박스 #pc방"
"oUadOhw8uY0","피규어 만들기 강의(이수현 of AKMU)","2023-08-27T09:00:35Z","UCd4FmcWIVdWAy0-Q8OJBloQ","사나고 Sanago","26","23.28.08","사나고|3D펜|3Dpen|만들기|making|3d프린터|3Dprinting","268553","0","0","461","https://i.ytimg.com/vi/oUadOhw8uY0/default.jpg","False","True","● 3D펜 사나고 샵https://smartstore.naver.com/sanago● 2021 NEW 사나고 펜 구매하러가기https://smartstore.naver.com/sanago/products/5528918097● SANAGO shop (For foreigners)http://sanago-en.com● 인스타그램https://www.instagram.com/sanago_kr/​● 3D펜카페 [사나고의 3D펜 비밀기지]https://cafe.naver.com/sanago● Contact 광고문의ok@magicstrawberry.co.kr 각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,CONTENTSFLY에서 제작되었습니다.https://www.contentsfly.com​​​​      #사나고​​​​ #악뮤 #후라이의꿈"
"aoZzdbvOlrA","[슈취타] EP.17 SUGA with 이강인","2023-08-25T13:00:10Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","23.28.08","방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin","1280685","0","0","5485","https://i.ytimg.com/vi/aoZzdbvOlrA/default.jpg","False","True","#슈가와취하는타임 #슈취타 #SUGA #슈가 #이강인Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://btsblog.ibighit.com"
"-Pd-rouk3Gc","1,2,3 IVE 외전 with 롯데월드","2023-08-27T14:00:00Z","UC-Fnix71vRP64WXeo0ikd0Q","IVE","24","23.28.08","Kpop|girl group|1theK|Starshiptv|starship|뮤비|티져|MV|Teaser|신곡|new|song|한류|idol|hallyu|ロエン|ミュージック|ミュージックビデオ|アイドル|韓流|韓国|아이돌|아이브|IVE|アイヴ|유진|원영|가을|레이|리즈|이서|GAEUL|REI|LIZ|LEESEO|ユジン|ガウル|レイ|ウォニョン|リズ|イソ|일레븐|eleven|take it|팬클럽|fanclub|official|dive|다이브|behind|아이브온|IVE ON|비하인드|러브다이브|LOVE DIVE|After LIKE|애프터라이크|Kitsch|키치|I AM|안유진|장원영|ANYUJIN|JANGWONYOUNG|아이엠|롯데월드|LOTTE WORLD|아이브 놀이공원|아이브 롯데월드|놀이공원","196373","0","0","1441","https://i.ytimg.com/vi/-Pd-rouk3Gc/default.jpg","False","True","STARSHIP SQUARE (Domestic) : https://bit.ly/3HtQ7GFSTARSHIP SQUARE (Global) : https://bit.ly/3JWPxm0IVE US EXCLUSIVE STORE : https://shop.ive-starship.com/  IVE Twitter: https://twitter.com/IVEstarship: https://twitter.com/IVE_twt: https://twitter.com/IVEstarship_JPIVE Instagram : https://instagram.com/IVEstarshipIVE Facebook: https://fb.me/IVEstarship IVE Fancafe: https://cafe.daum.net/IVEstarshipIVE TikTok: https://www.tiktok.com/@ive.officialIVE Weibo: https://weibo.com/ivestarship#IVE #아이브 #アイヴ"
"cw27pl_6Ghk","[짐승친구들] 새대갈 살인사건","2023-08-26T06:00:11Z","UCszFjh7CEfwDb7UUGb4RzCQ","짤툰","1","23.28.08","짤툰|만화|애니메이션|웹툰|병맛|더빙|병맛더빙|yt:cc=on","622380","0","0","1294","https://i.ytimg.com/vi/cw27pl_6Ghk/default.jpg","False","True","이 만화는 무료로 웃겨줍니다!(평일은 저녁 6시, 주말은 오후 3시 업로드~!)[각본 : 짤태식] [애니메이션 : 김혜은, 최수빈, 최혁준, 장찬명, 편연희] [성우 : 짤태식, 꽁시, 오리궁댕] [제작 지원 : 신수진, 이연주, 김주은] [사운드 : 빅픽처팀 사운드 스튜디오] ☆★짐승친구들을 만날 수 있는 방법★☆https://bigpictureteam.marpple.shop/kr☆★짤툰 멤버십 가입★☆https://www.youtube.com/channel/UCszFjh7CEfwDb7UUGb4RzCQ/joinEnglish channel https://www.youtube.com/channel/UCULM7gWHnK03eB1UfWS4JUwJapan channelhttps://www.youtube.com/channel/UC8UBjcRjZFkl8SkzDWmD83gChinese channelhttps://space.bilibili.com/507866514/https://www.youtube.com/channel/UCHj_iUpiS1I6fPYFu2KLZXQVietnam channelhttps://www.youtube.com/channel/UCwIqQ2ke-F6GVCSKeLtOY6A#짤툰#애니메이션#짐승친구들#새대갈#추리#탐정#스릴러"
