video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"Xr78dotDppQ","ENJUCAME LA NAVE - DOMELIPA | INTERIORES Y WRAP  (ep. #03) | JUCA","2023-08-27T18:00:10Z","UCqnFo90nZIcOxbfMekqnKiQ","JUCA","2","23.28.08","tuning|modificaciones|juca|jucaviapri|echando desmadre|coches|el coche de juca|modificaciones automotrices|mtv|mtv rewind|mtv throwback|xzibit|pimp my ride|pimp my ride compilations|pimp my ride full episodes|pimp my ride crazy cars|pimp my ride funny moments|pimp my ride best pimps|pimp my ride funny|car modifications|pimp my ride crazy|pimp my ride xzibit|Discovery Turbo|mexicanicos|ver mexicanicos completo|Domelipa|Dome|Dome Lipa|TikTok Domelipa","414085","0","0","800","https://i.ytimg.com/vi/Xr78dotDppQ/default.jpg","False","True","Ojalá les haya gustado este capítulo!Agradecimiento especial a:@masters.mexico y @vestiautomxCuéntame qué te pareció el video y ¿qué más te gustaría ver en el canal?Te veo en mis otras redes sociales! Instagram: @jucaviapri -http://instagram.com/jucaviapriTwitter: @jucaviapri - http://twitter.com/jucaviapriFacebook: https://www.facebook.com/jucaviapri"
"L2BSBMIn8xU","Resumen y goles | América vs León | AP2023-J5 | Liga Mx | TUDN","2023-08-27T03:18:31Z","UCTIyEyDNHPrwVFPhpi5dm0A","TUDN México","17","23.28.08","Televisa|Univision|TUDN|Televisa deportes|TUDN México|TUDN USA|Deportes|soccer|futbol mexicano|Liga Mx 2023|apertura 2023|jornada 5|america vs leon resumen|america liga mx|leon liga mx|gol viñas al america|gol de víñas|gol quiñones america|penal america vs león","920156","0","0","813","https://i.ytimg.com/vi/L2BSBMIn8xU/default.jpg","False","True","América rescata el punto con un penal agónico de Quiñones, León se plantó fuerte en el Azteca."
"148oBcmlmqk","LA MALDICIÓN DE GRIMACE - LA PELÍCULA - EN LA VIDA REAL! - Changovisión","2023-08-27T17:30:11Z","UCC79Vy7VezwkJoXnZml7OGA","Changovisión","24","23.28.08","changovision|grimace|grimace shake|grimace shake en la vida real|grimace en la vida real|la maldicion de grimace|grimace shake pelicula|pelicula grimace|encontramos a grimace|encontramos a grimace shake|ronald mcdonald|parodia|pelicula|resumen|vfx|animacion grimace shake","309545","0","0","626","https://i.ytimg.com/vi/148oBcmlmqk/default.jpg","False","True","La malteada Grimace Shake ha llegado a aterrorizarnos, y changovisión tendrá que detener al monstruo antes de que sea tarde D: Suscribete que nos motivas mucho 🤘❤️►NUESTROS OTROS CANALES:@changoplay @MikeMurcia @zaidcordova @bananasalaire  ►Facebook: https://goo.gl/X2LL2S►Síguenos en Instagram:►DAVID ZAID MASTER PRO-►Instagram: zaidcordova►MIKE EDITOR SUPREMO-►Instagram: mike_murcia►ULTRA JOHAN-►Instagram: johanmurcia_Para contrataciones, menciones, y conferencias escribe a:►contactochangovision@gmail.com"
"NN9aqmCprSo","Ariana Grande - Baby I (Live from London)","2023-08-27T16:00:24Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","23.28.08","ariana grande performance video|ariana grande honeymoon avenue performance video|ariana grande yours truly|yours truly ariana grande|ariana grande|yours truly album ariana grande|ariana|yours truly|ariana yours truly|yours truly ariana|ariana grand|ariana grande album|yours truly album|grande yours truly|new ariana grande|yours truly 10 year anniversary|10 year anniversary yours truly|yours truly london performances|baby","743220","0","0","7079","https://i.ytimg.com/vi/NN9aqmCprSo/default.jpg","False","True","The official performance of “Baby I” Live from London by Ariana Grande. Listen to & download the Yours Truly: Tenth Anniversary album here: https://arianagrande.lnk.to/yourtruly10yr►Shop Merch: https://arianagrande.lnk.to/shop►Follow Ariana Grande:www.arianagrande.comhttps://instagram.com/arianagrandehttps://tiktok.com/@arianagrande https://facebook.com/arianagrande►Subscribe to Ariana Grande: https://arianagrande.lnk.to/subscribe►Video Credits:Creative Director: Ariana Grande @arianagrandeDirector: Katia Temkin @katiatemkinProducer (US): Morgan Russell @mgrussellLive Camera Director / EP: Raja Virdi @rajavirdiProducer (UK): Joseph J. Goldman @thewarthogProduction Company (UK): PHASE @phasefilmsProduction Manager: Tara Sadeghi @tarasadeghiProduction Coordinator: Zoe Gunn @zoe.gunnProduction Coordinator: Abbey Valentina @abbey_valentina1st Assistant Director: James Dyer @jamesdyer1stadAD Runner: Melanie Barbieri @melanie.barbieriDirector of Photography: Pablo Lopez @saintpablo___Steadicam Op: Beau Pritchard James @beauxpjCamera Op: Dax Debice @daxdebice1st AC: Becky Lee @bbleeac1st AC: Andreea Gruioniu @andreeagruioniu2nd AC: Sandra Pennington @sandra_felicitas2nd AC: Aaron Champion @ac.the.acCamera Trainee / Driver: Josh Hong @josh.hongKey Grip: Phill Heale @phillhealeGrip Trainee: Felix Gibbons @gibbogripsBTS Photographer: Shannon Beveridge @nowthisislivingGaffer: Ryan Monteith @montycb6Desk Op: Hudson Daly @hudson_dalySpark: Kevin Mcfadden Spark: James Leech @jameswlyttonSpark: Ana Krkljus @kirklejuiceSpark Trainee: Sanaa Byfield @sparkienegroniRigger: David Harnett Rigger: Paul Howes Rigger: Robbie Chance (Tyler)Projection Tech: Vlad Kadinsky @duntoncineprojectionVideo Playback: Alex Bates @alexb66DIT: Robert Macfarlane @robertmacfarlanedirectorProduction Designer: Sarah Asmail @sarah.asmailArt Department Assistant: Lucia Barsegian @luciabarsegianArt Department Assistant: Jade O’Connor @jade_atworkSFX Tech: Neil Gawthrop @machineshopsfx Hair: Gabor Kerekes @gabork_muaMakeup: Nuria Mbomio Styling: Mimi Cutrell @mimicuttrellStylist Assistant: Madison CalvoWardrobe Tailor: Claire O’ConnorRunner: Bertie Newman @bertie.newmanRunner: Lara Drew @lara.drew.bRunner: Jack Bergman @jackbergman3Medic: Anthony Hatton @eandtmedicalCamera Hire: Take Two @procamtake2Lighting Hire: SHL @shl.londonRigging Hire: Traditional Film RiggingProduction Supplies: Get Set Hire @getsethireA big thank you to Soho House @sohohouse for hosting us.Editor: Katia Temkin @katiatemkin Editor: Shannon Beveridge @nowthisislivingPost Production Producer: Morgan Russell @mgrussellColor: Keyhan Bayegan @kbaycolor @legionpost.tvVFX: Jakob Thorhallsson @jakobthorhallssonAudio: Johnny Najera @_natural__Digital Consultant: Grace Segundo @gracesegundoBandMusical Director: Johnny Najera @_natural__Drums: Aaron Spears @aspearsKeys: Nelson Jackson @nelsonjacksoniiiBass: Tarron Crayton @tarroncraytonString Arranger: Steve Sidwell @steve.sidwellmusicViolin 1 Leader: Stephanie Benedetti @stephaniebenedettiViolin 1 & Viola: Chris Mcclain Violin 1: Kotono Sato Violin 2: Dan Oates Violin 2 & Viola: Kirsty Mangan @krustyroobagViolin 2: Sarah Daramy-Williams @sarahdaramywilliamsCello: Katherine Jenkinson Cello: Desmond Neysmith @neysmithdesmond#ArianaGrande #BabyIMusic video by Ariana Grande, Taro Hakase performing Baby I (live from london / 2023). © 2023 Universal Republic Records, a division of UMG Recordings, Inc.http://vevo.ly/8nzxtu"
"HEi7DYfYIXg","Por Mi Mexico Remix 🇲🇽 - Lefty SM, Santa Fe Klan, Dharius, C-Kan, MC Davo & Neto Peña","2023-08-26T01:00:09Z","UCQFmPWnstWJ5LMwRmsK34Vg","LEFTY SM OFICIAL","10","23.28.08","alzada|alzada films|casa alzada|familia alzada|los de alzada|rap|rap trap|rap trap records|urbana|urbano|músico|hip hop|hiphop|música|Lefty|SM|Lefty SM|Santa Fe Klan|Santa Fe|SFK|Dharius|DHA|C-Kan|C Kan|MC Davo|MC|Davo|Neto Peña|Neto|Peña|Por Mi Mexico|Por Mi Mexico (Remix)|Por Mi Mexico Remix|Lefty SM Por Mi Mexico|Santa Fe Klan Por Mi Mexico|Dharius Por Mi Mexico|C-Kan Por Mi Mexico CKan C Kan|MC Davo Por Mi Mexico|Neto Peña Por Mi Mexico|Remix","1808258","0","0","8024","https://i.ytimg.com/vi/HEi7DYfYIXg/default.jpg","False","True","Escucha a #LeftySM #SantaFeKlan #Dharius #CKan #MCDavo & #NetoPeñaLefty SMSpotify: https://open.spotify.com/artist/6eXHRfK9Ad3IpMpSAqvcDfApple Music: https://itunes.apple.com/mx/artist/lefty-sm/1380827747Amazon Music: https://music.amazon.com.mx/artists/B07CVMLKBF/lefty-smInstagram: https://www.instagram.com/leftysm_/#AlzadaMezcla: RiverMaster: Alan LedesmaBeatmaker: AGW BeatsDirector: Omar Amaro Camara 1: Andrés Rivera DP - Camara 2: Victor Preciado Asistente de Cámara: Cesar Parra. Productor: Baruch Vazquez Coordinación de producción - AD: René Morales 1er Asist Prod: Yael Razo 2do Asist Prod: Full THM 3do Asist Prod: Shainy Gaffer 01: Many Mex Gaffer 02: Carlos CruzCoordinación de Casting: Joel Ruiz Coordinación de Casting: Leonardo Hernandez Coordinación Artistas: Edwin Tzolkin. Foto Fija: Donovhan Gutierrez BTS : Alvis Cruz Documental/Foto : Sofia Ptacnik Camping: Omar Valdéz Camping: Brandón Galán Runner: Juan Rosales Director Ejecutivo: Alan Rodrigo Ledesma Rios, Daniel Takenaga.Contrataciones: booking@alzada.mxContacto: contacto@alzada.mxÚnete al grupo de Facebook Oficial del Alzada: https://found.ee/JPbpuTodos los derechos reservados 2023."
"C1l7ClcbhKw","AZUKY vs RAPDER - Cuartos | Red Bull Batalla México 2023","2023-08-27T14:30:03Z","UCRRtRg9N0R0WHZcyPZGiLKg","Red Bull Batalla","10","23.28.08","Red Bull|Batalla de los Gallos|Batalla de gallos|red bull tv|hip hop|batallas de rap|rap improvisado|Batalla en vivo|rap battles|Red Bull 2023|freestyle rap|méxico rap|final nacional|cdmx|ciudad de méxico|Yoiker|Damián SNK|Jony Beltrán|Rapder|Majestic|Saushino|Xavlac|Saturno|Azuky|Nota Roja|Dexo One|Ari Carrillo|Maquiavélico|Gonzo|Artil|Dante","98739","0","0","627","https://i.ytimg.com/vi/C1l7ClcbhKw/default.jpg","False","True","Azuky y @rapdergdl9588  batallaron en cuartos de la Final Nacional de #RedBullBatalla #México--» Escúchanos en https://win.gs/BatallaSpotify» Visita https://www.redbull.com/batalla» Síguenos en https://instagram.com/redbullbatalla» Únete a https://www.facebook.com/RedBullBatalla» Tuitea en https://twitter.com/redbullbatalla"
"g1DTXlj4IeI","BandoBoyz - Besos Ft. Swaggglock, Kidd Keo, Neelo - (Official Video)","2023-08-27T17:00:21Z","UCBCD1nIuiH-d10_l6Q-8rRg","Kidd Keo","10","23.28.08","Kidd Keo|KiddKeo|Keo|Kidd Keo Dracukeo|Kidd Keo Serpiente Veneno|Kidd Keo 24H|Kidd Keo Lollypop|Kidd Keo Touchdown|Kidd Keo Superstar|Kidd Keo Miss U|Kidd Keo Moon Talk|Igot|Me La Suda|Touchdown|Dracukeo|Aleman|Lil Xan|Trap|Trap en Español|Trap España|Jon Z|BZRP|Duki|Khea|Bad Bunny|Anuel AA|Yung Sarria|C Tangana|Dellafuente|Cruz Cafune|Don Patricio|Rels B|Pimp Flaco|Kinder Malo|Kaydy Cain|Bejo|Yung Beef|Cecilio G","106857","0","0","4141","https://i.ytimg.com/vi/g1DTXlj4IeI/default.jpg","False","True","Subscribe: http://bit.ly/2R3RXVdAvailable on all digital platforms:More: ➤Official Videos: http://bit.ly/34yzF2b➤Official Audios: http://bit.ly/38pNr9tFollow Me:Instagram: https://www.instagram.com/thekiddkeo/Facebook: https://www.facebook.com/KiddkeoMusicTwitter: https://twitter.com/KiddKeo95Flames"
"VKPdyo69ksQ","FORTNITE 4.4 - LA MEJOR TEMPORADA DEL CAPÍTULO 4","2023-08-27T16:00:07Z","UCjMtc3v7g-jrAquecbt7OyA","Hiper","20","23.28.08","fornait|fornite|epic|epic games|hyper|hiper|skin|top 10|skins|estereotipos|esteriotipos|eseriotipos|fortnite|mitos|mito|problemas|stereotipos|temporada 2|season 2|otaku|nuevo|bioma|creativo 2.0|memes|meme|verdades|competitivo|midas|temporada 4|ipinion|opinion|resumen","405081","0","0","947","https://i.ytimg.com/vi/VKPdyo69ksQ/default.jpg","False","True","🎮 Código de Creador en Fortnite/Epic: HIPER-YOUTUBE👥 Hazte miembro del canal: https://www.youtube.com/c/hiperop/join❤️ Patreon: https://www.patreon.com/Hiper🌟 Redes 🌟📺 Twitch: http://www.twitch.tv/hiperop📷 Instagram: http://www.instagram.com/hiperhey/🎬 Tik Tok: http://www.tiktok.com/@heysoyhiper🐦Twitter: http://www.twitter.com/hiperop💗Gracias a los que me apoyáis en Patreon 💪🏼 https://www.patreon.com/HiperNivel 1:bad dasiljo :vFrancisco AndrésGG GamesOréganoCrack_YTSebastian AlvarezNivel 2:Rodrigo ROZombieDarkNivel 3:Delfar Background animation by:  AA VFX , Amitai Angor , https://www.youtube.com/dvdangor2011Outro - https://goo.gl/eRtmLi#fortnite #EpicPartner #Hiper"
"4hwtXm0LY88","SANTIAGO GIMÉNEZ NIVEL DIOS Chaquito marcó doblete en goleada de Feyenoord 6-1 a Almere | Eredivisie","2023-08-27T15:41:35Z","UC08mnbiC4FykqpHqbEWgFcg","ESPN Deportes","17","23.28.08","santiago gimenez|gol de santiago gimenez|feyenoord|almere fc|eredivisie|espn deportes|espn mexico|feyenoord vs almere|feyenoord vs almere fc|santiago gimenez feyenoord|santiago gimenez hoy|chaquito santiago gimenez|gol santiago gimenez|santiago gimenez gol|gol santiago gimenez hoy|santi gimenez feyenoord|chaquito gimenez|feyenoord santiago gimenez|gol de santiago gimenez hoy|chaquito gimenez feyenoord|santi gimenez|santiago giménez|feyenoord Rotterdam","248994","0","0","416","https://i.ytimg.com/vi/4hwtXm0LY88/default.jpg","False","True","Santiago Giménez anotó doblete en la goleada del Feyenoord por 6-1 al Almere FC, por la tercera fecha de la Eredivisie. Chaquito inició la fiesta goleadora de su equipo con anotación temprana a los 3 minutos del encuentro. Siguieron los tantos de Igor Paixao, Lutsharel Geertruida, Mats Wieffer, el segundo de Santi Giménez (desde el punto penal) y cerró Quinten Timber. Por la visita, Jochem Ritmeester marcó el de la honra. #Feyenoord #Almera #Eredivisie | ESPN Deportes"
"8YYbhYXrGDc","The Kane-Effect! | Bayern München - FC Augsburg  | Highlights | Matchday 2 – Bundesliga 2023/24","2023-08-27T17:43:22Z","UC6UL29enLNe4mqwTfAyeNuw","Bundesliga","17","23.28.08","#FCBFCA|1. Bundesliga 2023/24|1. Bundesliga Highlights|All Goals|Augsburg|Bayern|Bayern Munich|Bundesliga|DFL|FC Augsburg|FC Bayern München|FC Bayern München FC Augsburg Highlights|FCA|Football|Football Highlights|Fussball|Fußball|German|German Football|German Football League|Germany|Highlights|Soccer|full highlights","1220483","0","0","723","https://i.ytimg.com/vi/8YYbhYXrGDc/default.jpg","False","True","#FCBFCA | Highlights from Matchday 2!► Sub now: https://redirect.bundesliga.com/_bwCS Watch the Bundesliga highlights of FC Bayern München vs. FC Augsburg from Matchday 2 of the 2023/24 season!Goals: 1-0 Uduokhai (OG, 32'), 2-0 Kane (P, 40'), 3-0 Kane (69'), 3-1 Beljo (86')► Watch Bundesliga in your country: https://redirect.bundesliga.com/All_Broadcaster► Join the conversation in the Bundesliga Community Tab:https://www.youtube.com/bundesliga/communityWe’ve seen another Matchday full of unmissable Bundesliga drama. Don’t miss any highlights from Germany’s football league! The Official Bundesliga YouTube channel gives you access to videos about the greatest goals, best moments and anything else you should know about. Make sure to subscribe now and visit us at https://bndsl.ga/comYT to find out more about the fixtures, analysis and news about your favourite team!"
